a,e,i,aop,s,p,f,GDoP,HDoP,dV,T,Decomp
24572.82,0.0,58.69,22.9,4,6,0.2118,2.6,1.2,0.0266448524195746,24,0.5654
24531.88,0.0,58.69,22.9,4,6,0.3923,2.61,1.2,0.0265401083491824,24,0.5659
26652.79,0.0,67.38,298.14,4,6,0.3019,2.64,1.25,0.0261551526020014,24,0.5706
24589.38,0.0139,66.5,132.95,8,3,0.4641,2.62,1.3,0.0204590581100972,24,0.5711
24704.18,0.0065,68.45,134.34,8,3,0.4607,2.64,1.31,0.0220009698679844,24,0.5722
27211.87,0.0001,67.38,298.14,3,8,0.3019,2.71,1.23,0.0316984479755091,24,0.5726
27813.93,0.0001,64.37,298.14,3,8,0.3019,2.73,1.22,0.0328977916611768,24,0.5731
19148.24,0.0245,56.24,74.77,3,8,0.6778,2.75,1.16,0.0151022989219688,24,0.5746
19148.24,0.0245,56.07,74.77,3,8,0.6778,2.75,1.16,0.0150672392877702,24,0.5747
22352.59,0.043,60.35,291.96,3,7,0.5864,3.29,1.44,0.0162151277580594,21,0.576
